Date,prcp,tavg,tmax,tmin,wdspavg,wdspmax,sunhour,snowf,snowdmax
2016/1/1,2,-1.6,3.2,-7.1,1,2.9,7.3,8,7
2016/1/2,0,1.4,8.8,-7.1,1.6,5,2.1,0,2
2016/1/3,0,4.5,13.2,-1.4,1.6,4.8,5.7,0,0
2016/1/4,0,4.5,13,-2.9,2.1,5.8,5.7,0,0
2016/1/5,0,3.9,8.7,0.9,1.9,4.5,2.6,1,1
2016/1/6,0,1.4,4.9,-0.6,0.8,2.9,1,1,1
2016/1/7,1,-0.1,1.1,-1.6,1.4,3.3,0,2,1
2016/1/8,1.5,-0.7,3,-3.8,0.7,2.3,1.2,2,1
2016/1/9,1,-0.9,1.8,-3.2,1.1,2.9,1.7,2,1
2016/1/10,0,0.7,5.7,-2.5,1.6,5.2,2.6,0,1
2016/1/11,0,-1.5,0.9,-3.2,1.8,3.5,1.1,2,1
2016/1/12,0,-2.7,0.1,-6.2,1.3,3.1,1.2,0,1
2016/1/13,0.5,-2.6,3.4,-8.5,0.7,1.9,4,1,1
2016/1/14,1,-1.5,0.1,-2.5,0.8,3.1,0,3,2
2016/1/15,0,-2.2,0.3,-4.7,0.9,2.6,1,1,1
2016/1/16,0,-1.5,2.7,-4.6,1.3,4.1,6,0,1
2016/1/17,0.5,-1.1,2.8,-5.5,0.8,2.2,3.2,1,1
2016/1/18,38,0.1,2.2,-1.9,1.3,4.5,0,27,25
2016/1/19,2,-3.4,1.4,-5.9,1.5,4.7,0,5,23
2016/1/20,21,-3.4,-0.2,-6.6,1.9,4.9,0,25,41
2016/1/21,0,-2.7,0.3,-4.8,1.6,3.9,4.3,0,38
2016/1/22,0,-5.1,-0.8,-9.7,1.1,3.5,1.3,0,31
2016/1/23,1,-5,-2.2,-9.3,0.6,2,0.1,5,30
2016/1/24,8,-6.1,-2.7,-9.2,1.2,3.7,0,12,42
2016/1/25,1.5,-7.5,-2.7,-13.5,1,3.1,0.1,3,41
2016/1/26,0,-7.5,2.3,-16.4,0.7,2.2,8.4,0,36
2016/1/27,0,-2.2,6.2,-6.9,0.9,2.5,3.6,0,32
2016/1/28,0,-2.1,6.8,-10,1,4,6,1,29
2016/1/29,26.5,-0.1,1.2,-2.4,0.3,1.7,0,14,36
2016/1/30,5,-1.1,1.1,-4.2,0.6,3.1,0.2,5,38
2016/1/31,0,-1.5,2.3,-6.5,1.1,2.6,5.1,0,34
2016/2/1,0,-2.7,-1,-4.1,1.6,3.3,0,3,32
2016/2/2,0,-3.3,-1.2,-6.6,1.3,3.6,0.4,3,31
2016/2/3,0,-6.2,0.8,-13.2,0.8,3.3,8.2,0,29
2016/2/4,0,-5,2.1,-14,0.9,2.8,4.4,0,28
2016/2/5,0,-1.6,3.1,-5.2,1.1,4.1,4.3,0,26
2016/2/6,3.5,-1.8,1.1,-3.7,1.2,3.9,2,11,35
2016/2/7,0,-4.9,-1.4,-11.7,1.6,3.6,6.5,2,30
2016/2/8,0,-6.4,3.5,-15,0.7,2.6,8.7,1,28
2016/2/9,28.5,-3.4,-1.3,-6.9,0.4,1.3,0,47,72
2016/2/10,5.5,-3.9,-1.5,-8.1,2.1,3.8,0,4,73
2016/2/11,0,-4.3,4.8,-12.7,0.8,1.7,7.8,0,63
2016/2/12,0,-0.7,9.7,-10.2,0.9,4.1,7.6,0,52
2016/2/13,3,2.4,7.1,-1.7,0.6,1.7,0,1,40
2016/2/14,28,4.6,12,1.8,1,5.5,1.5,0,34
2016/2/15,0,-2.2,3.1,-5.3,2.7,5.1,1.1,1,26
2016/2/16,0,-3.2,-0.2,-6.2,0.8,2.5,0,1,25
2016/2/17,8,-3.3,-1.6,-8.1,1.1,3.6,0,20,42
2016/2/18,0,-4.3,6,-13.7,0.8,2.4,9.1,,
2016/2/19,0,0.8,8.4,-8,1.3,3.6,6.5,,
2016/2/20,15,1.1,5.6,-1,0.9,2.7,0,,
2016/2/21,1.5,0.6,3.3,-2.8,1.8,4,1.5,,
2016/2/22,0,-1,4.7,-4.4,1.2,4.3,4,,
2016/2/23,0,1.8,6.4,-3.1,1.3,3.7,4.4,,
2016/2/24,0,-2.8,0,-5.2,2.4,4,6.5,,
2016/2/25,0,-2.4,1.9,-5.6,1.5,4.2,7.2,,
2016/2/26,2.5,-2.7,-1.5,-4.9,1.3,2.9,1.2,,
2016/2/27,4,-1.7,5.4,-10.5,0.9,2.8,5.8,,
2016/2/28,0.5,2.7,8.8,-1.8,0.7,2,7.9,,
2016/2/29,11.5,-0.2,4.1,-5.1,1.7,4.5,0,,
2016/3/1,5.5,-5.3,-2.1,-8,2,4.6,3.7,,
2016/3/2,0,-3.4,2.9,-7.8,1.1,3.7,3,,
2016/3/3,0,2.1,9.1,-6.2,1.9,6.2,6.1,,
2016/3/4,0,1.9,11.5,-5.1,0.9,3.4,9.8,,
2016/3/5,0,3.3,12.1,-3,1,2.6,3.2,,
2016/3/6,0,6.9,16.4,-2.1,1.6,4.8,7.6,,
2016/3/7,2.5,5.3,11.3,1.9,0.6,1.3,0.9,,
2016/3/8,0,6,15.3,0.9,1.8,4.3,6.1,0,0
2016/3/9,9,0,3.7,-1.7,1.2,3.5,0,2,1
2016/3/10,1.5,-1,3.8,-2.8,1.6,3.5,2,0,1
2016/3/11,0,-1,3.5,-3.6,1.4,3.8,2.5,0,0
2016/3/12,0,-1.5,4.3,-6.7,1,3.2,3.5,1,1
2016/3/13,0.5,1.6,6.9,-2.3,1,3.1,3.7,1,1
2016/3/14,9,0.2,1.2,-2.2,0.6,2.4,0,12,6
2016/3/15,0.5,-0.2,1.6,-3.4,2.2,5.1,7.2,2,2
2016/3/16,0,1.8,11,-6.3,1.2,3.9,8.5,0,1
2016/3/17,0,5.5,16.9,-3.1,0.9,2.6,10.1,2,2
2016/3/18,1,7.2,16.3,-1.2,1.4,6,4.6,0,0
2016/3/19,7.5,7,10.5,4.2,1.5,4.4,0,2,2
2016/3/20,0,2.9,6.7,0.6,2.4,3.6,2.1,0,0
2016/3/21,0,1,5.4,-2.8,1.7,4.3,6,0,0
2016/3/22,0,5.3,14.4,-5,1.9,5.5,9.9,0,0
2016/3/23,1,2.1,8.8,-0.7,2.1,4.3,0,1,1
2016/3/24,0,-0.1,4.1,-1.7,1.5,3.7,2.5,0,0
2016/3/25,0,-0.8,2.3,-2.5,2,3.8,6.6,0,0
2016/3/26,0,1.2,8.2,-3.1,1.4,3.4,10.4,0,0
2016/3/27,0,3.6,12.2,-3.5,1.4,4.4,9.2,0,0
2016/3/28,0,4.2,12,-1.9,1.2,4.1,8.2,0,0
2016/3/29,0,5.6,16.3,-2.8,1.1,3.5,8.7,0,0
2016/3/30,2,6.9,17,0.2,1.2,4.4,6.8,0,0
2016/3/31,0,6.6,16,-1.5,1.1,3.4,10.1,0,0
2016/4/1,0,9.4,19.6,-0.6,1.4,4.2,8.7,0,0
2016/4/2,0,11.8,19.9,6.2,1.7,3,9.3,0,0
2016/4/3,0.5,11.5,18.6,6.1,1.3,4,1.4,0,0
2016/4/4,10,7.4,11.5,5,1.6,4.1,0,0,0
2016/4/5,0,7.1,15.4,1.6,1.4,4.6,6.1,0,0
2016/4/6,0,7.9,17.8,-0.6,1.5,5.4,9.2,0,0
2016/4/7,103.5,7.8,14.8,4.2,1.2,5.4,0,0,0
2016/4/8,0,8.9,13.8,3.1,1.8,3.6,2.9,0,0
2016/4/9,0,10.8,20.4,2.2,1.6,3.8,10.8,0,0
2016/4/10,0,10.3,18.5,3.7,1.5,4,3.5,0,0
2016/4/11,0,1.5,7.7,-0.7,2.9,4.6,4.4,0,0
2016/4/12,0,5.9,15.4,-2.8,1.2,3,10.1,0,0
2016/4/13,14,9.8,17.5,2.7,2.1,6.5,4,0,0
2016/4/14,7.5,12.6,19.5,8.1,1.7,3.9,8.1,0,0
2016/4/15,0,8,12.5,1,2.7,5.5,11,0,0
2016/4/16,0,10.8,21.1,-0.7,1.5,4.8,10.5,0,0
2016/4/17,2.5,15.6,23,9.1,3.3,7.7,3.9,0,0
2016/4/18,0,10.2,16.8,4.5,1.6,4.6,4.3,0,0
2016/4/19,0,8.6,16.8,2.1,1.8,6.2,9.3,0,0
2016/4/20,0,9.6,19.9,0,1.2,4.1,11.1,0,0
2016/4/21,44,10.3,17.5,5.4,1.5,4.1,2.5,0,0
2016/4/22,2.5,12.1,17,8.8,1.7,4.3,7.8,0,0
2016/4/23,0,14.5,24.7,8,1.6,4.1,6.7,0,0
2016/4/24,0,11.3,18.1,6.4,1.3,3.3,6.1,0,0
2016/4/25,0,12.3,21.5,5.3,1.2,3.3,7.4,0,0
2016/4/26,0,13.4,22.9,5.4,1.4,4.7,11,0,0
2016/4/27,3,13.8,24,7.1,1.2,3.9,6.8,0,0
2016/4/28,50,10.5,13,8.6,1.5,4.1,0,0,0
2016/4/29,0,6.9,9.6,4.7,2.8,5.3,5.7,0,0
2016/4/30,1.5,9.5,14.9,1.6,1.3,3,5,0,0
2016/5/1,7.5,13.3,19.5,7.8,1.8,5.6,4.2,0,0
2016/5/2,0,15.1,25.8,6.9,1,3.1,10,0,0
2016/5/3,0,16.6,24.3,7.5,2.4,5.1,6.2,0,0
2016/5/4,11.5,15.3,21.3,9.7,1.9,6,8.5,0,0
2016/5/5,0,13.6,18.8,5.9,2.3,6.1,10.4,0,0
2016/5/6,0,12.3,18.9,4.5,1.8,5.3,1.3,0,0
2016/5/7,2.5,14,23.7,8.5,1.5,4.7,3.8,0,0
2016/5/8,0,12.8,19.5,7.1,1.5,4.3,10.3,0,0
2016/5/9,1,13.1,18.6,6.2,1.3,3.8,1.2,0,0
2016/5/10,15,15.4,17.6,12.2,0.7,1.7,0.4,0,0
2016/5/11,28,15.9,18.6,11.1,2,4.2,0.4,0,0
2016/5/12,0,14.4,21.6,7.7,1.3,3.9,11.1,0,0
2016/5/13,0,15.6,24.4,8.4,1.5,4.2,10.7,0,0
2016/5/14,0,15.6,23.7,11.1,1,3.3,10.7,0,0
2016/5/15,0,17.4,25.3,10,1.3,2.7,8,0,0
2016/5/16,1.5,17.9,24.8,11.3,2.7,5.3,6.8,0,0
2016/5/17,19.5,10.7,15.7,5.9,1.4,3.2,2.1,0,0
2016/5/18,0,14,25.8,3.3,0.9,2.7,11,0,0
2016/5/19,0,15.9,25.3,6.2,1.2,3.1,10.8,0,0
2016/5/20,0,16.7,24.9,10.1,1.3,2.8,10.1,0,0
2016/5/21,0,15.5,23.6,7.9,1.1,2.8,11.2,0,0
2016/5/22,0,16.6,27.2,6.1,1.2,2.9,11.3,0,0
2016/5/23,0,17.4,26.6,9.4,1.1,3.4,10.3,0,0
2016/5/24,0,19.8,28,9.5,1.1,3.3,8.2,0,0
2016/5/25,0,18.5,22.4,14.7,1.1,3.8,0.1,0,0
2016/5/26,3,19.5,28,12.7,1,2.7,3.5,0,0
2016/5/27,3,16.3,23.7,10.9,1.1,3.7,5.7,0,0
2016/5/28,0,16,22.6,10.7,0.9,2.4,3.2,0,0
2016/5/29,3,18,27.3,8.8,1.3,2.8,7.4,0,0
2016/5/30,19.5,14.4,17.6,12.1,1,2.4,0,0,0
2016/5/31,1,18.2,27.1,13,1.3,4.2,8.9,0,0
2016/6/1,1,12.6,17.4,9.3,2,4.1,8.5,0,0
2016/6/2,0,11.3,17.7,5.2,1.6,3.4,9.1,0,0
2016/6/3,0,13.1,23.5,2.8,1,3,11.4,0,0
2016/6/4,0,16,23.7,7.8,0.9,2.8,6,0,0
2016/6/5,0,16.9,24.5,11.4,0.9,2.8,9.2,0,0
2016/6/6,0,17.3,25.7,10,1.2,2.7,8.1,0,0
2016/6/7,0.5,18.1,22,14.2,0.7,2.1,0.6,0,0
2016/6/8,0,19.6,24.4,15.9,1,2.4,0.9,0,0
2016/6/9,3,17.8,20.7,14.9,0.9,2.4,0,0,0
2016/6/10,0,18.4,26.9,13.7,1.1,3.9,8.9,0,0
2016/6/11,0.5,20.1,28.6,14.4,1,3.3,7.3,0,0
2016/6/12,2,20.5,25.8,15.3,1.4,3.3,4.7,0,0
2016/6/13,28,17.3,20.3,14.6,0.9,2.9,0,0,0
2016/6/14,0,18.9,24.1,16.2,1.1,2.9,3.5,0,0
2016/6/15,0,19.9,25.8,14.8,1,2.7,3,0,0
2016/6/16,16,18.1,20.3,16,1.1,4,0,0,0
2016/6/17,2,18.9,25.3,13.7,1.1,3,4.5,0,0
2016/6/18,0,19.3,27.6,11.1,1,2.8,11.5,0,0
